configuredFailureDuration,actualRecoveryDuration,totalRequests,successfulRequests,failedRequests,errorRate,averageResponseTime,peakResponseTime,injectedLatencyMilliseconds,targetService_notification-service,targetService_order-service,targetService_payment-service,failureType_latency,failureType_restart,failureType_stop,cascadingFailure
10,10.99,10,10,0,0.0,30.5,41,0,0.0,0.0,1.0,0.0,1.0,0.0,0
20,20.98,10,10,0,0.0,34.0,46,0,0.0,0.0,1.0,0.0,1.0,0.0,0
20,21.02,10,10,0,0.0,30.3,41,0,0.0,0.0,1.0,0.0,1.0,0.0,0
20,20.95,10,10,0,0.0,31.9,42,0,0.0,0.0,1.0,0.0,1.0,0.0,0
20,21.02,10,10,0,0.0,30.8,44,0,0.0,0.0,1.0,0.0,1.0,0.0,0
30,31.02,10,10,0,0.0,39.6,48,0,0.0,0.0,1.0,0.0,1.0,0.0,0
30,30.97,10,10,0,0.0,31.9,46,0,0.0,0.0,1.0,0.0,1.0,0.0,0
30,31.1,10,10,0,0.0,49.2,63,0,0.0,0.0,1.0,0.0,1.0,0.0,0
30,31.03,10,10,0,0.0,46.7,64,0,0.0,0.0,1.0,0.0,1.0,0.0,0
60,61.13,10,10,0,0.0,45.4,56,0,0.0,0.0,1.0,0.0,1.0,0.0,0
60,61.0,10,10,0,0.0,55.6,80,0,0.0,0.0,1.0,0.0,1.0,0.0,0
60,61.03,10,10,0,0.0,36.4,46,0,0.0,0.0,1.0,0.0,1.0,0.0,0
60,60.99,10,10,0,0.0,29.2,39,0,0.0,0.0,1.0,0.0,1.0,0.0,0
5,6.37,10,1,9,90.0,1251.6,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
5,6.03,10,1,9,90.0,1243.3,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
5,6.02,10,1,9,90.0,1250.3,2002,0,0.0,1.0,0.0,0.0,0.0,1.0,0
5,5.98,10,1,9,90.0,1250.5,2002,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,10.96,10,1,9,90.0,1359.1,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,11.0,10,1,9,90.0,1361.8,2002,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,10.96,10,1,9,90.0,1362.2,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
10,12.32,10,3,7,70.0,1558.5,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.77,10,2,8,80.0,1603.3,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.79,10,2,8,80.0,1612.8,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.77,10,2,8,80.0,1603.0,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
20,22.76,10,2,8,80.0,1603.2,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,32.88,10,2,8,80.0,1610.7,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,32.78,10,2,8,80.0,1603.4,2002,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,32.77,10,2,8,80.0,1602.9,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
30,32.81,10,2,8,80.0,1603.8,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
60,62.88,10,2,8,80.0,1610.9,2002,0,0.0,1.0,0.0,0.0,0.0,1.0,0
60,62.79,10,2,8,80.0,1603.8,2002,0,0.0,1.0,0.0,0.0,0.0,1.0,0
60,62.78,10,2,8,80.0,1603.7,2002,0,0.0,1.0,0.0,0.0,0.0,1.0,0
60,62.87,10,2,8,80.0,1611.1,2001,0,0.0,1.0,0.0,0.0,0.0,1.0,0
5,8.54,10,5,5,50.0,1565.4,3017,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.42,25,15,10,40.0,1531.96,3025,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.52,50,29,21,42.0,1565.48,3027,0,0.0,0.0,1.0,0.0,0.0,1.0,1
5,7.68,100,55,45,45.0,1633.7,3023,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,12.03,10,5,5,50.0,1746.9,3007,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,11.69,25,12,13,52.0,1782.72,3008,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,11.24,50,13,37,74.0,1767.86,3007,0,0.0,0.0,1.0,0.0,0.0,1.0,1
10,11.08,100,26,74,74.0,1768.61,3009,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,21.27,10,3,7,70.0,1995.7,3005,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,21.37,25,5,20,80.0,2240.64,3009,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,23.0,50,11,39,78.0,2447.98,3012,0,0.0,0.0,1.0,0.0,0.0,1.0,1
20,22.94,100,22,78,78.0,2481.31,3100,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,32.58,10,2,8,80.0,2225.5,3023,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,32.49,25,3,22,88.0,2459.28,3012,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,31.02,50,6,44,88.0,2461.54,3009,0,0.0,0.0,1.0,0.0,0.0,1.0,1
30,31.67,100,19,81,81.0,2493.32,3023,0,0.0,0.0,1.0,0.0,0.0,1.0,1
60,62.96,10,2,8,80.0,2411.7,3018,0,0.0,0.0,1.0,0.0,0.0,1.0,1
60,61.22,25,4,21,84.0,2631.04,3011,0,0.0,0.0,1.0,0.0,0.0,1.0,1
